estimate,se,ci_lower,ci_upper,covers,r_d,learner,overlap_strength,complexity,seed,elapsed,sample_size
3.910132185215673,0.09862479098770889,3.716831146896973,4.103433223534373,1,1.0070068088271453,rf,0.0,linear,45,1.1530568599700928,985
3.8359790610229427,0.1581287952855644,3.526052317344529,4.145905804701356,1,1.0009562618913397,lasso,0.0,linear,46,0.12212395668029785,985
3.925134065008036,0.08885781560365787,3.7509759466799655,4.099292183336107,1,1.0552637029498502,xgboost,0.0,linear,46,0.39357781410217285,985
3.8083529086192107,0.11600591512490893,3.580985492980779,4.0357203242576425,1,1.0143242879101486,rf,0.0,linear,46,1.1042969226837158,985
4.044481710615698,0.08423283535958465,3.8793883869952204,4.209575034236176,1,1.0033020231481817,lasso,0.0,linear,47,0.125899076461792,985
3.9883199524503947,0.08808002972102487,3.8156862664399687,4.16095363846082,1,1.0607790411786528,xgboost,0.0,linear,47,0.3961191177368164,985
4.057217190002622,0.12322378183761254,3.815703015562081,4.298731364443164,1,1.0153489560584175,rf,0.0,linear,47,1.1530687808990479,985
3.955351891287564,0.1885331938936941,3.585833621365617,4.324870161209511,1,1.000839568405395,lasso,0.0,linear,48,0.11786413192749023,985
3.9365376317786533,0.10064425311954445,3.7392785204134134,4.133796743143893,1,1.0470952154203446,xgboost,0.0,linear,48,0.39755702018737793,985
4.050127077233636,0.13534395299859367,3.784857803831111,4.315396350636162,1,1.0132362241555546,rf,0.0,linear,48,1.117516040802002,985
4.39633477518136,0.20633515610939854,3.9919253004624893,4.800744249900231,1,1.0086908263044578,lasso,0.0,linear,49,0.11786484718322754,985
4.198804923235651,0.1320574608336025,3.9399770561119807,4.4576327903593205,1,1.0487567587211144,xgboost,0.0,linear,49,0.3853590488433838,985
4.271627067795931,0.18965884590461057,3.8999025604734627,4.643351575118399,1,1.0179771858229139,rf,0.0,linear,49,1.116358995437622,985
3.812270974610247,0.14545266520885297,3.5271889893455324,4.097352959874962,1,1.0093437797171059,lasso,0.0,linear,50,0.12581872940063477,985
3.9176585563444237,0.1135097407500992,3.695183552579751,4.1401335601090965,1,1.0506252012951829,xgboost,0.0,linear,50,0.40743184089660645,985
3.822448696953193,0.16042131845358612,3.508028690431734,4.1368687034746525,1,1.019719900714634,rf,0.0,linear,50,1.3788740634918213,985
3.9227352650998912,0.16400132219617813,3.601298580178433,4.244171950021349,1,1.0047492201653094,lasso,0.0,linear,51,0.1231529712677002,985
4.111608765975591,0.13838075221478466,3.840387475481052,4.38283005647013,1,1.0354481706002314,xgboost,0.0,linear,51,0.5151102542877197,985
4.0981129186028316,0.175186160661497,3.7547543531164496,4.441471484089214,1,1.0192483246590605,rf,0.0,linear,51,1.1543223857879639,985
3.901348192716351,0.14255073162203985,3.6219538927673183,4.180742492665384,1,1.0005016427831397,lasso,0.0,linear,52,0.12373900413513184,985
4.010023560777522,0.08845536728709641,3.8366542266555506,4.183392894899493,1,1.0209159258089133,xgboost,0.0,linear,52,0.43823790550231934,985
4.041873273510565,0.1142210630507307,3.8180041036552548,4.265742443365876,1,1.0044727781528886,rf,0.0,linear,52,1.1239330768585205,985
