rep,seed,learner,r_d,r_d_oracle,inflation,coverage,estimate,se
70,1070,xgboost,0.15202444703285223,0.14359815439768756,0.008426292635164673,1,3.785981041707815,0.3186544475217823
70,1070,lasso,0.6703457654102678,0.14359815439768756,0.5267476110125803,0,3.6640271674467746,0.12483894861149651
70,1070,lasso_logistic,0.20526437906068892,0.14359815439768756,0.06166622466300137,1,4.463106506469844,0.35357285553657125
71,1071,xgboost,0.13341164883707957,0.1256772818817827,0.007734366955296862,0,-4.82238320541681,4.193338493747547
71,1071,lasso,0.6550435448525089,0.1256772818817827,0.5293662629707262,0,8.371586878362166,1.232743431783235
71,1071,lasso_logistic,0.1903823322009144,0.1256772818817827,0.06470505031913171,1,-0.4001373496475873,2.873161045617679
72,1072,xgboost,0.13935758017276734,0.13764424936838016,0.0017133308043871809,0,4.9759147712434375,0.44595152678946104
72,1072,lasso,0.6590665751485258,0.13764424936838016,0.5214223257801457,0,3.3143747184913956,0.26477903772281924
72,1072,lasso_logistic,0.1962587388359755,0.13764424936838016,0.05861448946759534,0,5.364295071199554,0.42791191807875734
73,1073,xgboost,0.18168855697564562,0.17749098682048134,0.004197570155164282,0,6.740112442813043,0.7859918186369641
73,1073,lasso,0.6813588404356307,0.17749098682048134,0.5038678536151493,0,-0.5125183745681793,0.8137193357170096
73,1073,lasso_logistic,0.20975558141679085,0.17749098682048134,0.03226459459630951,0,6.538164937815023,0.8705361541284398
74,1074,xgboost,0.15496798953885108,0.13782933312191845,0.01713865641693263,1,4.332965603147163,0.2362386800998911
74,1074,lasso,0.6510033619702145,0.13782933312191845,0.513174028848296,0,3.563809673768328,0.1435181344698247
74,1074,lasso_logistic,0.17751439128956895,0.13782933312191845,0.0396850581676505,0,5.0441505614453535,0.2832731342379083
75,1075,xgboost,0.16985275350330512,0.15904851784849008,0.010804235654815031,0,3.493639782552917,0.23515115058731936
75,1075,lasso,0.6584155837299558,0.15904851784849008,0.49936706588146573,1,3.8574192044637936,0.12227230925545064
75,1075,lasso_logistic,0.217421898080215,0.15904851784849008,0.05837338023172492,0,4.598392245306836,0.2833901224476021
76,1076,xgboost,0.14429446051345218,0.1305333182323713,0.013761142281080885,0,2.771929499859837,0.3905808235717131
76,1076,lasso,0.657987546738261,0.1305333182323713,0.5274542285058896,0,3.67137524008914,0.1399718492596399
76,1076,lasso_logistic,0.17555170509769613,0.1305333182323713,0.04501838686532483,1,4.239379461958392,0.3588871227433758
77,1077,xgboost,0.14081944368197466,0.13138221535002884,0.009437228331945824,1,3.3149009435790426,0.9282651181819828
77,1077,lasso,0.6638801026529966,0.13138221535002884,0.5324978873029678,0,4.836841832058816,0.3684509991578227
77,1077,lasso_logistic,0.19850820196177044,0.13138221535002884,0.0671259866117416,0,5.5724206028581245,0.7443164780885438
78,1078,xgboost,0.18786258026849006,0.1671676966322594,0.020694883636230677,1,3.9168107428231873,1.233678914040281
78,1078,lasso,0.6527492602888799,0.1671676966322594,0.48558156365662053,1,2.9298482941463595,0.6057256133137314
78,1078,lasso_logistic,0.21686052575984185,0.1671676966322594,0.049692829127582466,1,3.4572170433987606,0.9285836983238671
